level_0,index,SITE_ID,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAP_tower,MAT_tower,MET,PET_PM,PET_PT,MAP_badm,MAT_badm,GSfit_R2,CanopyHeight,MLAI,Nsample,GSfit_R2_nosm,g0,g1,m,GSmax0,GSmax1,GSmax2,g00,g01,g02,g03,GSREF
77,94,IT-Noe,2004,2014,40.6061,8.1515,28,SHB,575.314185,16.61906329,463.137446,900.9617436,1288.368338,588,15.9,0.449637243,1.054545455,1.432552345,7367,0.373467858,0.011394422,0.007059266,3.79E-20,0.050890263,0.0586862,0.069448718,0.014647802,0.009572877,0.017097745,0.057943414,0.070820114
78,95,IT-PT1,2002,2004,45.2009,9.061,60,DBF,748.1589215,14.80862594,580.5098153,961.7965556,993.3312259,984,12.7,0.289035075,26.6,1.253997692,791,0.268648318,0.095191577,0.006755723,0.126325156,0.181284952,0.202679759,0.23170543,0.048344258,0.095423931,0.102579365,0.1025813,0.223930913
79,96,IT-Ren,1998,2013,46.5869,11.4337,1730,ENF,968.1556577,4.806460109,715.1810714,733.4063002,930.615572,809.3,4.7,0.081662557,29,2.140031667,5543,0.070909342,0.157642965,0.01093967,0.077855191,0.203343438,0.252813688,0.34487992,0.096138442,0.117332246,0.221420278,0.194347278,0.371378742
80,99,IT-SR2,2013,2014,43.732,10.291,12,ENF,1332.081442,15.48066066,509.7140784,654.6956162,1129.811595,920,14.2,0.061178054,19,2.44326256,1044,0.042429687,0.147452958,0.003461973,6.54E-17,0.07077716,0.083282755,0.098829525,0.105792935,0.159420217,0.199117184,0.127045338,0.094192348
81,100,IT-SRo,1999,2012,43.7279,10.2844,6,ENF,811.2528367,15.51224586,472.3194021,779.6380504,1249.312655,920,14.2,0.308436689,18.7,2.442698139,3087,0.233531555,0.063586199,0.005572884,0.448025649,0.071081123,0.078613608,0.092623319,0.078851276,0.044168822,0.054218286,0.101409797,0.078980661
82,101,IT-Tor,2008,2014,45.8444,7.5781,2160,GRA,590.0773508,4.013809548,556.1045065,1038.038856,558.3296011,920,2.9,0.429727184,0.2,1.802013964,2490,0.36259056,0.059487378,0.025784174,0.242726084,0.278569812,0.315573586,0.381534974,0.062074358,0.023189016,0.179022632,0.020562335,0.352694266
83,102,JP-MBF,2003,2005,44.3869,142.3186,,DBF,933.8032117,3.579392849,706.9305946,537.5778101,838.964247,,,0.499448014,11.5,2.744629464,825,0.431752305,0.100191672,0.020459043,0.622542517,0.159924174,0.185575369,0.216148789,0.073881389,0.233983145,0.295439754,0.033873606,0.212889623
84,104,NL-Hor,2004,2011,52.2404,5.0713,2.2,GRA,1045.725422,10.70490736,643.407043,920.6425155,616.5244953,800,10,0.186404843,0.823282308,2.469513946,381,0.009722407,0.157332958,0.005890685,2.09E-21,0.159326339,0.181255955,0.25035593,2.39E-17,0.319311424,1.72E-16,0.140802506,0.287105555
85,109,RU-Cok,2003,2014,70.8291,147.4943,48,SHB,399.8504137,-0.514588773,362.8394489,487.5087683,512.0834549,232,-14.3,0.151801104,0.5,0.952809885,222,0.151801104,0.146013339,0.004399688,1.5,0.10524547,0.120424384,0.1470713,0.146013339,0.146013339,0.146013339,0.146013339,0.123126356
86,111,RU-Ha1,2002,2004,54.7252,90.0022,446,GRA,519.1246887,7.991284406,550.4355391,1115.437267,772.2644495,,,0.318224511,0.5,0.79954369,1841,0.271538003,0.042862886,0.015422927,0.295905809,0.197546076,0.222909717,0.258823591,0.053840012,0.059258534,0.057563479,0.045559111,0.304378093
